19         = NAB = no. of Historic Abundance Estimates
2015       = I2SYR  = YEAR OF FIRST GENERATED SURVEY
IYR  K=TARA CONEST   TARVAR    SIGHT  CVCSLA    ProRated TTYPE  Area  CONEST= abundance for conditioning (baseline);
2007    1   10105    0.4       10105   0.4       10105     1     EC   SIGHT = estimate for use by CLC.
1987    2    1096    0.532      1096   0.35       1096     1     WG   Prorated = Alternative for conditioning (Used if OPTSGT=1)
2005    2    3234    0.595      3234   0.44       3234     1     WG   TTYPE = -2 and -3: combine these for Hyp 7 & 8
2097   0  0  0  0  0  0  0    0    0    0    0      0        0
2098   0  0  0  0  0  0  0    0    0    0    0      0        0
2099   0  0  1  1  1  0  0    1    1    1    1      1        1
2100   0  0  0  0  0  0  0    0    0    0    0      0        0
2101   0  0  0  0  0  0  0    0    0    0    0      0        0
2102   0  0  0  0  0  0  0    0    0    0    0      0        0
2103   0  0  0  0  0  0  0    0    0    0    0      0        0
2104   0  0  0  0  0  0  0    0    0    0    0      0        0
2105   0  0  1  1  1  0  0    1    1    1    1      1        1
2106   0  0  0  0  0  0  0    0    0    0    0      0        0
2107   0  0  0  0  0  0  0    0    0    0    0      0        0
2108   0  0  0  0  0  0  0    0    0    0    0      0        0
2109   0  0  0  0  0  0  0    0    0    0    0      0        0
2110   0  0  0  0  0  0  0    0    0    0    0      0        0
2111   0  0  1  1  1  0  0    1    1    1    1      1        1
2112   0  0  0  0  0  0  0    0    0    0    0      0        0
2113   0  0  0  0  0  0  0    0    0    0    0      0        0
2114   0  0  0  0  0  0  0    0    0    0    0      0        0
2115   0  0  0  0  0  0  0    0    0    0    0      0        0
2116   0  0  0  0  0  0  0    0    0    0    0      0        0
2117   0  0  1  1  1  0  0    1    1    1    1      1        1
2118   0  0  0  0  0  0  0    0    0    0    0      0        0
2119   0  0  0  0  0  0  0    0    0    0    0      0        0
2120   0  0  0  0  0  0  0    0    0    0    0      0        0
2121   0  0  0  0  0  0  0    0    0    0    0      0        0
2122   0  0  0  0  0  0  0    0    0    0    0      0        0
2123   0  0  1  1  1  0  0    1    1    1    1      1        1
2124   0  0  0  0  0  0  0    0    0    0    0      0        0
